,signal,entry_time,exit_time,entry_price,exit_price,sl,tp,lot_size,result,pnl,balance_after
58,BUY,2024-10-30 14:00:00,2024-11-12 06:00:00,2781.55,2617.73,2502.22,3340.21,0.01,loss,-163.89,10440.0
59,SELL,2024-11-05 13:00:00,2024-11-06 08:00:00,2738.69,2711.3,2752.38,2711.3,0.08,win,208.24,10648.24
60,SELL,2024-11-06 01:00:00,2024-11-06 08:00:00,2742.6,2715.17,2756.31,2715.17,0.08,win,212.4,10860.64
61,SELL,2024-11-08 07:00:00,2024-11-11 11:00:00,2692.22,2665.3,2705.68,2665.3,0.08,win,216.65,11077.29
62,SELL,2024-11-11 13:00:00,2024-11-11 16:00:00,2659.58,2632.98,2672.88,2632.98,0.08,win,220.99,11298.28
63,SELL,2024-11-12 08:00:00,2024-11-13 15:00:00,2604.92,2617.94,2617.94,2578.87,0.09,loss,-113.61,11184.67
64,SELL,2024-11-13 15:00:00,2024-11-13 19:00:00,2609.34,2583.25,2622.39,2583.25,0.09,win,223.06,11407.73
65,SELL,2024-11-19 08:00:00,2024-11-19 12:00:00,2622.04,2635.15,2635.15,2595.82,0.09,loss,-114.71,11293.02
66,SELL,2024-11-20 07:00:00,2024-11-20 17:00:00,2633.86,2647.03,2647.03,2607.52,0.09,loss,-113.56,11179.46
67,BUY,2024-11-21 07:00:00,2024-12-04 03:00:00,2659.92,2642.17,2551.65,2876.46,0.01,loss,-17.82,11161.64
68,BUY,2024-11-22 07:00:00,2024-12-05 03:00:00,2689.61,2647.0,2551.65,2965.53,0.01,loss,-42.68,11118.96
69,SELL,2024-12-03 13:00:00,2024-12-03 16:00:00,2640.61,2653.81,2653.81,2614.2,0.08,loss,-111.75,11007.21
70,BUY,2024-12-10 13:00:00,2024-12-23 05:00:00,2677.53,2624.08,2551.65,2929.29,0.01,loss,-53.52,10953.69
71,BUY,2024-12-11 14:00:00,2024-12-24 06:00:00,2698.71,2620.21,2551.65,2992.83,0.01,loss,-78.57,10875.12
72,BUY,2024-12-13 13:00:00,2024-12-27 09:00:00,2668.07,2633.52,2551.65,2900.91,0.01,loss,-34.62,10840.5
73,SELL,2024-12-17 07:00:00,2024-12-18 21:00:00,2650.63,2624.12,2663.88,2624.12,0.08,win,216.25,11056.75
74,SELL,2024-12-17 09:00:00,2024-12-18 21:00:00,2650.69,2624.18,2663.94,2624.18,0.08,win,220.58,11277.32
75,SELL,2024-12-17 14:00:00,2024-12-18 21:00:00,2639.99,2613.59,2653.19,2613.59,0.09,win,224.92,11502.24
76,SELL,2024-12-30 07:00:00,2025-01-02 03:00:00,2620.73,2633.83,2633.83,2594.52,0.09,loss,-115.65,11386.59
77,SELL,2024-12-30 14:00:00,2025-01-02 03:00:00,2618.49,2631.58,2631.58,2592.31,0.09,loss,-114.5,11272.09
78,BUY,2025-01-09 07:00:00,2025-01-10 16:00:00,2661.39,2687.39,2648.39,2687.39,0.09,win,224.81,11496.9
79,BUY,2025-01-10 09:00:00,2025-01-21 18:00:00,2679.18,2740.76,2648.39,2740.76,0.04,win,229.66,11726.56
80,BUY,2025-01-10 14:00:00,2025-01-22 02:00:00,2681.25,2746.97,2648.39,2746.97,0.04,win,234.25,11960.81
81,BUY,2025-01-15 14:00:00,2025-01-21 09:00:00,2687.64,2731.72,2665.6,2731.72,0.05,win,238.87,12199.68
82,BUY,2025-01-16 08:00:00,2025-01-22 07:00:00,2696.93,2753.85,2668.47,2753.85,0.04,win,243.71,12443.39
